RecordingTime,PEC_Measured_Current,PEC_Measured_Power,PEC_Measured_Voltage,Batt_SOC_Calculated,Frm_Temperature_Limit,Batt_Temp_Cell,Batt_Temp_NegPost,Batt_Temp_PosPost,PEC_Accumulated_Current_In,PEC_Accumulated_Current_Out,Week_Counter,Test_Position_Timer,Test_Postn_Tmr_min,TC_Loop1PV,TC_Loop1SP,TC_Loop2PV,TC_Loop2SP,Batt_SOC_Req,PEC_Accumulated_Current_Total,PEC_Accumulated_Power_In,PEC_Accumulated_Power_Out,PEC_Accumulated_Power_Total,LoopCnt1,Batt_Chrg_Capacity_Ah,Batt_Chrg_Capacity_kWh,Batt_Dischrg_Capacity_Ah,Batt_Dischrg_Capacity_kWh,Batt_Throughput_Ah,Batt_Throughput_kWh
s,A,kW,V,%,-,°C,°C,°C,Ah,Ah,-,-,min,°C,°C,-,-,%,Ah,kWh,kWh,kWh,-,Ah,kWh,Ah,kWh,Ah,kWh
Double,Float,Float,Float,Float,Long,Float,Float,Float,Double,Double,Long,Long,Float,Float,Float,Float,Float,Float,Float,Double,Double,Float,Long,Float,Float,Float,Float,Double,Double
6.7,0.003721,0.000014,3.739913,49.99,0,26.77,10000000000.00,30.01,9.852333,-7.166918,1,6870,0.11,25.1,25.0,0.0,-1.0,50.00,2.685415,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019250,0.064308
6.8,0.003721,0.000014,3.740074,49.99,0,27.00,10000000000.00,30.00,9.852333,-7.166918,1,6970,0.12,25.1,25.0,0.0,-1.0,50.00,2.685415,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019251,0.064308
6.9,0.003721,0.000014,3.740236,49.99,0,26.90,10000000000.00,29.99,9.852333,-7.166918,1,7070,0.12,25.1,25.0,0.0,-1.0,50.00,2.685415,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019251,0.064308
7,0.005773,0.000022,3.740398,49.99,0,26.85,10000000000.00,30.06,9.852333,-7.166918,1,7170,0.12,25.1,25.0,0.0,-1.0,50.00,2.685415,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019251,0.064308
7.1,0.003721,0.000014,3.740236,49.99,0,26.84,10000000000.00,30.01,9.852333,-7.166918,1,7270,0.12,25.1,25.0,0.0,-1.0,50.00,2.685415,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019251,0.064308
7.2,0.001669,0.000006,3.740398,49.99,0,26.96,10000000000.00,30.09,9.852333,-7.166918,1,7370,0.12,25.0,25.0,0.0,-1.0,50.00,2.685415,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019251,0.064308
7.3,0.003721,0.000014,3.740398,49.99,0,26.93,10000000000.00,30.03,9.852333,-7.166918,1,7470,0.12,25.0,25.0,0.0,-1.0,50.00,2.685416,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019251,0.064308
7.4,0.003721,0.000014,3.740398,49.99,0,26.83,10000000000.00,29.93,9.852333,-7.166918,1,7570,0.13,25.0,25.0,0.0,-1.0,50.00,2.685416,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019251,0.064308
7.5,0.003721,0.000014,3.740559,49.99,0,26.86,10000000000.00,30.03,9.852334,-7.166918,1,7670,0.13,25.0,25.0,0.0,-1.0,50.00,2.685416,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019251,0.064308
7.6,0.005773,0.000022,3.740721,49.99,0,26.91,10000000000.00,30.08,9.852334,-7.166918,1,7770,0.13,25.0,25.0,0.0,-1.0,50.00,2.685416,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019251,0.064308
7.7,0.003721,0.000014,3.740721,49.99,0,26.79,10000000000.00,29.98,9.852334,-7.166918,1,7870,0.13,25.0,25.0,0.0,-1.0,50.00,2.685416,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019252,0.064308
7.8,0.003721,0.000014,3.740721,49.99,0,26.89,10000000000.00,29.95,9.852334,-7.166918,1,7970,0.13,25.0,25.0,0.0,-1.0,50.00,2.685416,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019252,0.064308
